type,lib,jour,nb,code,Code,flag_url
departement,Deux-Sèvres,2020-03-18,10,NA,NA,NA
departement,Deux-Sèvres,2020-03-19,14,NA,NA,NA
departement,Deux-Sèvres,2020-03-20,28,NA,NA,NA
departement,Deux-Sèvres,2020-03-21,28,NA,NA,NA
departement,Deux-Sèvres,2020-03-22,42,NA,NA,NA
departement,Deux-Sèvres,2020-03-23,44,NA,NA,NA
departement,Deux-Sèvres,2020-03-24,46,NA,NA,NA
departement,Deux-Sèvres,2020-03-25,52,NA,NA,NA
departement,Deux-Sèvres,2020-03-26,60,NA,NA,NA
departement,Deux-Sèvres,2020-03-27,64,NA,NA,NA
departement,Deux-Sèvres,2020-03-28,68,NA,NA,NA
departement,Deux-Sèvres,2020-03-29,86,NA,NA,NA
departement,Deux-Sèvres,2020-03-30,96,NA,NA,NA
departement,Deux-Sèvres,2020-03-31,112,NA,NA,NA
departement,Dordogne,2020-03-18,8,NA,NA,NA
departement,Dordogne,2020-03-19,8,NA,NA,NA
departement,Dordogne,2020-03-20,16,NA,NA,NA
departement,Dordogne,2020-03-21,18,NA,NA,NA
departement,Dordogne,2020-03-22,22,NA,NA,NA
departement,Dordogne,2020-03-30,40,NA,NA,NA
departement,Dordogne,2020-03-31,40,NA,NA,NA
departement,Dordogne,2020-03-28,42,NA,NA,NA
departement,Dordogne,2020-03-29,42,NA,NA,NA
departement,Dordogne,2020-03-23,68,NA,NA,NA
departement,Dordogne,2020-03-24,86,NA,NA,NA
departement,Dordogne,2020-03-25,98,NA,NA,NA
departement,Dordogne,2020-03-26,106,NA,NA,NA
departement,Dordogne,2020-03-27,124,NA,NA,NA
departement,Doubs,2020-03-18,76,NA,NA,NA
departement,Doubs,2020-03-19,112,NA,NA,NA
departement,Doubs,2020-03-20,150,NA,NA,NA
departement,Doubs,2020-03-21,188,NA,NA,NA
departement,Doubs,2020-03-22,224,NA,NA,NA
departement,Doubs,2020-03-23,244,NA,NA,NA
departement,Doubs,2020-03-24,294,NA,NA,NA
departement,Doubs,2020-03-25,334,NA,NA,NA
departement,Doubs,2020-03-26,366,NA,NA,NA
departement,Doubs,2020-03-27,436,NA,NA,NA
departement,Doubs,2020-03-28,446,NA,NA,NA
departement,Doubs,2020-03-29,626,NA,NA,NA
departement,Doubs,2020-03-30,640,NA,NA,NA
departement,Doubs,2020-03-31,679,NA,NA,NA
departement,Drôme,2020-03-18,38,NA,NA,NA
departement,Drôme,2020-03-19,84,NA,NA,NA
departement,Drôme,2020-03-20,102,NA,NA,NA
departement,Drôme,2020-03-21,112,NA,NA,NA
departement,Drôme,2020-03-22,128,NA,NA,NA
departement,Drôme,2020-03-23,172,NA,NA,NA
departement,Drôme,2020-03-24,214,NA,NA,NA
departement,Drôme,2020-03-25,284,NA,NA,NA
departement,Drôme,2020-03-26,378,NA,NA,NA
departement,Drôme,2020-03-27,443,NA,NA,NA
departement,Drôme,2020-03-28,541,NA,NA,NA
departement,Drôme,2020-03-29,591,NA,NA,NA
departement,Drôme,2020-03-30,704,NA,NA,NA
departement,Drôme,2020-03-31,752,NA,NA,NA
departement,Essonne,2020-03-18,136,NA,NA,NA
departement,Essonne,2020-03-19,218,NA,NA,NA
departement,Essonne,2020-03-20,319,NA,NA,NA
departement,Essonne,2020-03-21,397,NA,NA,NA
departement,Essonne,2020-03-22,517,NA,NA,NA
departement,Essonne,2020-03-23,681,NA,NA,NA
departement,Essonne,2020-03-24,817,NA,NA,NA
departement,Essonne,2020-03-25,1017,NA,NA,NA
departement,Essonne,2020-03-26,1183,NA,NA,NA
departement,Essonne,2020-03-27,1301,NA,NA,NA
departement,Essonne,2020-03-28,1538,NA,NA,NA
departement,Essonne,2020-03-29,1617,NA,NA,NA
departement,Essonne,2020-03-30,1794,NA,NA,NA
departement,Essonne,2020-03-31,2005,NA,NA,NA
departement,Eure,2020-03-18,0,NA,NA,NA
departement,Eure,2020-03-19,6,NA,NA,NA
departement,Eure,2020-03-20,12,NA,NA,NA
departement,Eure,2020-03-21,20,NA,NA,NA
departement,Eure,2020-03-22,32,NA,NA,NA
departement,Eure,2020-03-23,38,NA,NA,NA
departement,Eure,2020-03-24,38,NA,NA,NA
departement,Eure,2020-03-25,56,NA,NA,NA
departement,Eure,2020-03-26,90,NA,NA,NA
departement,Eure,2020-03-27,96,NA,NA,NA
departement,Eure,2020-03-28,98,NA,NA,NA
departement,Eure,2020-03-29,98,NA,NA,NA
departement,Eure,2020-03-30,114,NA,NA,NA
departement,Eure,2020-03-31,159,NA,NA,NA
departement,Eure-et-Loir,2020-03-18,18,NA,NA,NA
departement,Eure-et-Loir,2020-03-20,30,NA,NA,NA
departement,Eure-et-Loir,2020-03-19,32,NA,NA,NA
departement,Eure-et-Loir,2020-03-21,34,NA,NA,NA
departement,Eure-et-Loir,2020-03-22,40,NA,NA,NA
departement,Eure-et-Loir,2020-03-23,92,NA,NA,NA
departement,Eure-et-Loir,2020-03-24,114,NA,NA,NA
departement,Eure-et-Loir,2020-03-25,153,NA,NA,NA
departement,Eure-et-Loir,2020-03-26,188,NA,NA,NA
departement,Eure-et-Loir,2020-03-27,227,NA,NA,NA
departement,Eure-et-Loir,2020-03-28,239,NA,NA,NA
departement,Eure-et-Loir,2020-03-29,301,NA,NA,NA
departement,Eure-et-Loir,2020-03-30,360,NA,NA,NA
departement,Eure-et-Loir,2020-03-31,378,NA,NA,NA
departement,Finistère,2020-03-18,42,NA,NA,NA
departement,Finistère,2020-03-19,56,NA,NA,NA
departement,Finistère,2020-03-21,58,NA,NA,NA
departement,Finistère,2020-03-20,62,NA,NA,NA
departement,Finistère,2020-03-22,62,NA,NA,NA
departement,Finistère,2020-03-23,70,NA,NA,NA
departement,Finistère,2020-03-24,83,NA,NA,NA
departement,Finistère,2020-03-25,128,NA,NA,NA
